c_number	Ko_ID	KEGG_pathway_def	Compound_def
C21889	ko00997	Biosynthesis of various other secondary metabolites	(2S)-3-(4-Hydroxyphenyl)-2-isocyanopropanoate; L-Tyrosine isonitrile
C21891	ko00997	Biosynthesis of various other secondary metabolites	(2E)-3-(4-Hydroxyphenyl)-2-isocyanoprop-2-enoate
C21978	ko00997	Biosynthesis of various other secondary metabolites	Cyclooctat-9-ene-5,7-diol; (1S,3R,3aS,4R,7S,9aS,10aS)-1,4,9a-Trimethyl-7-(propan-2-yl)-1,2,3,3a,4,5,
C21979	ko00997	Biosynthesis of various other secondary metabolites	Cyclooctatin; Cycloctat-9-ene-5,7,18-triol
C22072	ko00997	Biosynthesis of various other secondary metabolites	2-[(L-Alanin-3-ylcarbamoyl)methyl]-2-hydroxybutanedioate
C22073	ko00997	Biosynthesis of various other secondary metabolites	2-[(2-Aminoethylcarbamoyl)methyl]-2-hydroxybutanedioate
C22074	ko00997	Biosynthesis of various other secondary metabolites	2-[(L-Alanin-3-ylcarbamoyl)methyl]-3-(2-aminoethylcarbamoyl)-2-hydroxypropanoate
C22075	ko00997	Biosynthesis of various other secondary metabolites	Staphyloferrin B
C22101	ko00997	Biosynthesis of various other secondary metabolites	N5-Citryl-D-ornithine; delta-Citryl-D-ornithine; N5-[(S)-Citryl]-D-ornithine
C22102	ko00997	Biosynthesis of various other secondary metabolites	Staphyloferrin A
C22137	ko00997	Biosynthesis of various other secondary metabolites	4-Chloro-L-lysine
C22138	ko00997	Biosynthesis of various other secondary metabolites	L-Propargylglycine
C22139	ko00997	Biosynthesis of various other secondary metabolites	gamma-L-Glutamyl-L-propargylglycine
C22140	ko00997	Biosynthesis of various other secondary metabolites	L-gamma-Glutamyl-(3R)-L-beta-ethynylserine
C22141	ko00997	Biosynthesis of various other secondary metabolites	L-beta-Ethynylserine
C22142	ko00997	Biosynthesis of various other secondary metabolites	Cyclo(L-Trp-L-Phe)
C22143	ko00997	Biosynthesis of various other secondary metabolites	N-Methyl-cyclo(L-Trp-L-Phe)
C22144	ko00997	Biosynthesis of various other secondary metabolites	(-)-Ditryptophenaline
C22145	ko00997	Biosynthesis of various other secondary metabolites	Fumiquinazoline F
C22146	ko00997	Biosynthesis of various other secondary metabolites	Fumiquinazoline F-indoline-2',3'-diol
C22147	ko00997	Biosynthesis of various other secondary metabolites	Fumiquinazoline A
C22148	ko00997	Biosynthesis of various other secondary metabolites	Fumiquinazoline C
C22149	ko00997	Biosynthesis of various other secondary metabolites	Fumiquinazoline D
C22449	ko00997	Biosynthesis of various other secondary metabolites	Paerucumarin
C00019	ko00270	Cysteine and methionine metabolism	S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM
C00021	ko00270	Cysteine and methionine metabolism	S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine
C00022	ko00270	Cysteine and methionine metabolism	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid
C00041	ko00270	Cysteine and methionine metabolism	L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine
C00049	ko00270	Cysteine and methionine metabolism	L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp
C00051	ko00270	Cysteine and methionine metabolism	Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glu
C00059	ko00270	Cysteine and methionine metabolism	Sulfate; Sulfuric acid
C00065	ko00270	Cysteine and methionine metabolism	L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine
C00073	ko00270	Cysteine and methionine metabolism	L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid
C00094	ko00270	Cysteine and methionine metabolism	Sulfite; Sulfurous acid
C00097	ko00270	Cysteine and methionine metabolism	L-Cysteine; L-2-Amino-3-mercaptopropionic acid
C00109	ko00270	Cysteine and methionine metabolism	2-Oxobutanoate; 2-Ketobutyric acid; 2-Oxobutyric acid; 2-Oxobutyrate; 2-Oxobutanoic acid; alpha-Keto
C00155	ko00270	Cysteine and methionine metabolism	L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine
C00170	ko00270	Cysteine and methionine metabolism	5'-Methylthioadenosine; Methylthioadenosine; S-Methyl-5'-thioadenosine; 5-Methylthioadenosine; 5'-De
C00197	ko00270	Cysteine and methionine metabolism	3-Phospho-D-glycerate; D-Glycerate 3-phosphate; 3-Phospho-(R)-glycerate; 3-Phosphoglycerate
C00263	ko00270	Cysteine and methionine metabolism	L-Homoserine; 2-Amino-4-hydroxybutyric acid
C00283	ko00270	Cysteine and methionine metabolism	Hydrogen sulfide; Hydrogen-sulfide; H2S; Sulfide
C00409	ko00270	Cysteine and methionine metabolism	Methanethiol; Methylmercaptan
C00441	ko00270	Cysteine and methionine metabolism	L-Aspartate 4-semialdehyde; Aspartate beta-semialdehyde; L-Aspartic 4-semialdehyde
C00491	ko00270	Cysteine and methionine metabolism	L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid
C00506	ko00270	Cysteine and methionine metabolism	L-Cysteate; L-Cysteic acid; 3-Sulfoalanine; 2-Amino-3-sulfopropionic acid
C00606	ko00270	Cysteine and methionine metabolism	3-Sulfino-L-alanine; L-Cysteinesulfinic acid; 3-Sulphino-L-alanine; 3-Sulfinoalanine
C00793	ko00270	Cysteine and methionine metabolism	D-Cysteine; D-Amino-3-mercaptopropionic acid
C00957	ko00270	Cysteine and methionine metabolism	Mercaptopyruvate; 2-Oxo-3-sulfanylpropanoate; 3-Mercaptopyruvic acid; 3-Mercaptopyruvate
C00979	ko00270	Cysteine and methionine metabolism	O-Acetyl-L-serine; O3-Acetyl-L-serine
C01005	ko00270	Cysteine and methionine metabolism	O-Phospho-L-serine; L-O-Phosphoserine; 3-Phosphoserine; Dexfosfoserine; 3-Phospho-L-serine
C01077	ko00270	Cysteine and methionine metabolism	O-Acetyl-L-homoserine; O-Acetylhomoserine
C01102	ko00270	Cysteine and methionine metabolism	O-Phospho-L-homoserine
C01118	ko00270	Cysteine and methionine metabolism	O-Succinyl-L-homoserine; O4-Succinyl-L-homoserine; O-Succinylhomoserine
C01137	ko00270	Cysteine and methionine metabolism	S-Adenosylmethioninamine; (5-Deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium; (5-Deoxy-5-adenosyl)(3
C01180	ko00270	Cysteine and methionine metabolism	4-Methylthio-2-oxobutanoic acid; 4-Methylthio-2-oxobutanoate; 4-(Methylsulfanyl)-2-oxobutanoate; 2-K
C01234	ko00270	Cysteine and methionine metabolism	1-Aminocyclopropane-1-carboxylate; 1-Aminocyclopropane-1-carboxylic acid
C01817	ko00270	Cysteine and methionine metabolism	L-Homocystine; Homocystine
C01962	ko00270	Cysteine and methionine metabolism	Thiocysteine; S-Mercapto-L-cysteine; L-Thiocysteine
C02218	ko00270	Cysteine and methionine metabolism	Dehydroalanine; 2-Aminoacrylate; 2-Aminoprop-2-enoate
C02291	ko00270	Cysteine and methionine metabolism	L-Cystathionine
C02356	ko00270	Cysteine and methionine metabolism	(S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid
C02989	ko00270	Cysteine and methionine metabolism	L-Methionine S-oxide
C03082	ko00270	Cysteine and methionine metabolism	4-Phospho-L-aspartate; L-4-Aspartyl phosphate
C03089	ko00270	Cysteine and methionine metabolism	5-Methylthio-D-ribose; S-Methyl-5-thio-D-ribose; 5-(Methylsulfanyl)-D-ribose
C03145	ko00270	Cysteine and methionine metabolism	N-Formylmethionine; N-Formyl-L-methionine
C03232	ko00270	Cysteine and methionine metabolism	3-Phosphonooxypyruvate; 3-Phosphonooxypyruvic acid; 3-Phosphohydroxypyruvate; 3-Phosphohydroxypyruvi
C03431	ko00270	Cysteine and methionine metabolism	S-Inosyl-L-homocysteine
C03539	ko00270	Cysteine and methionine metabolism	S-Ribosyl-L-homocysteine; S-D-Ribosyl-L-homocysteine; Ribose-5-S-homocysteine; S-Ribosylhomocysteine
C04188	ko00270	Cysteine and methionine metabolism	S-Methyl-5-thio-D-ribose 1-phosphate; S-Methyl-5-thio-alpha-D-ribose 1-phosphate; S-Methyl-5-thio-5-
C04582	ko00270	Cysteine and methionine metabolism	S-Methyl-5-thio-D-ribulose 1-phosphate; 5-(Methylsulfanyl)-D-ribulose 1-phosphate
C05324	ko00270	Cysteine and methionine metabolism	Nicotianamine
C05524	ko00270	Cysteine and methionine metabolism	Aminoacyl-L-methionine
C05526	ko00270	Cysteine and methionine metabolism	S-Glutathionyl-L-cysteine
C05527	ko00270	Cysteine and methionine metabolism	3-Sulfinylpyruvate; 3-Sulfinopyruvate
C05528	ko00270	Cysteine and methionine metabolism	3-Sulfopyruvate; 3-Sulfopyruvic acid
C05823	ko00270	Cysteine and methionine metabolism	3-Mercaptolactate; L-3-Mercaptolactate; (R)-3-Mercaptolactate
C05824	ko00270	Cysteine and methionine metabolism	S-Sulfo-L-cysteine
C06547	ko00270	Cysteine and methionine metabolism	Ethylene; Ethene
C08276	ko00270	Cysteine and methionine metabolism	3-(Methylthio)propanoate; 3-(Methylthio)propionic acid; 3-Methylthiopropionate; 3-(Methylsulfanyl)pr
C09306	ko00270	Cysteine and methionine metabolism	Sulfur dioxide
C11437	ko00270	Cysteine and methionine metabolism	1-Deoxy-D-xylulose 5-phosphate
C11481	ko00270	Cysteine and methionine metabolism	HSO3-; Hydrogen sulfite; Bisulfite
C11499	ko00270	Cysteine and methionine metabolism	(S)-3-Sulfolactate; (2S)-3-Sulfolactate
C11537	ko00270	Cysteine and methionine metabolism	(2R)-3-Sulfolactate; (R)-3-Sulfolactate
C15606	ko00270	Cysteine and methionine metabolism	1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one; 1,2-Dihydroxy-5-(methylsulfanyl)pent-1-en-3-one
C15650	ko00270	Cysteine and methionine metabolism	2,3-Diketo-5-methylthiopentyl-1-phosphate; 5-(Methylthio)-2,3-dioxopentyl phosphate; 5-(Methylsulfan
C15651	ko00270	Cysteine and methionine metabolism	2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate; 2-Hydroxy-5-(methylthio)-3-oxopent-1-enyl phospha
C18049	ko00270	Cysteine and methionine metabolism	N-Acyl-L-homoserine lactone
C19787	ko00270	Cysteine and methionine metabolism	5'-S-Methyl-5'-thioinosine; 5'-Deoxy-5'-methylthioinosine; S-Methyl-5'-thioinosine
C21015	ko00270	Cysteine and methionine metabolism	gamma-L-Glutamyl-L-2-aminobutyrate
C21016	ko00270	Cysteine and methionine metabolism	Ophthalmate; gamma-L-Glutamyl-L-2-aminobutyrylglycine
C22359	ko00270	Cysteine and methionine metabolism	S-Methyl-1-thio-D-xylulose 5-phosphate
C00007	ko02020	Two-component system	Oxygen; O2
C00009	ko02020	Two-component system	Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid
C00022	ko02020	Two-component system	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid
C00025	ko02020	Two-component system	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
C00031	ko02020	Two-component system	D-Glucose; Grape sugar; Dextrose; Glucose; D-Glucopyranose
C00034	ko02020	Two-component system	Manganese
C00036	ko02020	Two-component system	Oxaloacetate; Oxalacetic acid; Oxaloacetic acid; 2-Oxobutanedioic acid; 2-Oxosuccinic acid; keto-Oxa
C00038	ko02020	Two-component system	Zinc cation; Zn2+; Zn(II); Zinc ion
C00042	ko02020	Two-component system	Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid
C00049	ko02020	Two-component system	L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp
C00064	ko02020	Two-component system	L-Glutamine; L-2-Aminoglutaramic acid
C00070	ko02020	Two-component system	Copper
C00088	ko02020	Two-component system	Nitrite
C00092	ko02020	Two-component system	D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester
C00122	ko02020	Two-component system	Fumarate; Fumaric acid; trans-Butenedioic acid
C00149	ko02020	Two-component system	(S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid
C00158	ko02020	Two-component system	Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid
C00164	ko02020	Two-component system	Acetoacetate; 3-Oxobutanoic acid; beta-Ketobutyric acid; Acetoacetic acid
C00237	ko02020	Two-component system	CO; Carbon monoxide
C00238	ko02020	Two-component system	Potassium cation; K+; Potassium(1+); Potassium ion
C00244	ko02020	Two-component system	Nitrate; Nitric acid
C00282	ko02020	Two-component system	Hydrogen; H2
C00291	ko02020	Two-component system	Nickel
C00305	ko02020	Two-component system	Magnesium cation; Mg2+; Magnesium(2+); Magnesium ion
C00399	ko02020	Two-component system	Ubiquinone; Coenzyme Q; CoQ; Q
C00533	ko02020	Two-component system	Nitric oxide; NO; Nitrogen monoxide
C00547	ko02020	Two-component system	L-Noradrenaline; Noradrenaline; Norepinephrine; Arterenol; 4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benze
C00697	ko02020	Two-component system	Nitrogen; N2
C00788	ko02020	Two-component system	L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(
C00828	ko02020	Two-component system	Menaquinone; Vitamin K2
C01019	ko02020	Two-component system	L-Fucose; L-Fucopyranose; 6-Deoxy-L-galactose
C01104	ko02020	Two-component system	Trimethylamine N-oxide; (CH3)3NO
C01667	ko02020	Two-component system	Bacitracin
C02084	ko02020	Two-component system	Tetrathionate; Tetrathionic acid
C05757	ko02020	Two-component system	(3R)-3-Hydroxydodecanoyl-[acyl-carrier protein]; (R)-3-Hydroxydodecanoyl-[acp]; (R)-3-Hydroxydodecan
C05818	ko02020	Two-component system	2-Demethylmenaquinone; Demethylmenaquinone
C06230	ko02020	Two-component system	Fe-enterobactin; Fe-enterochlin
C06689	ko02020	Two-component system	Vancomycin
C06696	ko02020	Two-component system	Lead; Pb
C11612	ko02020	Two-component system	Polymyxin B
C11842	ko02020	Two-component system	N-(3-(S)-Hydroxybutyryl)homoserine lactone
C11849	ko02020	Two-component system	3-Hydroxy-palmitic acid methyl ester; 3-Hydroxyhexadecanoic acid methyl ester
C12008	ko02020	Two-component system	Ramoplanin A2
C13768	ko02020	Two-component system	Colistin sulfate
C14819	ko02020	Two-component system	Fe3+; Fe(III); Ferric ion; Iron(3+)
C16421	ko02020	Two-component system	AI-2; Autoinducer 2
C16463	ko02020	Two-component system	3',5'-Cyclic diGMP; cdiGMP; 3',5'-Cyclic diguanylic acid; Bis-(3',5')-cyclic diGMP; Cyclic di-3',5'-
C16640	ko02020	Two-component system	CAI-1; Cholerae autoinducer-1
C16665	ko02020	Two-component system	12-Methyltetradecanoic acid
C18206	ko02020	Two-component system	cis-11-Methyl-2-dodecenoic acid
C21220	ko02020	Two-component system	AIP-1
C21221	ko02020	Two-component system	CSP; Competence-stimulating peptide
C21241	ko02020	Two-component system	AIP-2
C21242	ko02020	Two-component system	AIP-3
C21243	ko02020	Two-component system	AIP-4
C21245	ko02020	Two-component system	AgrD1 peptide
C00022	ko00290	Valine_ leucine and isoleucine biosynthesis	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid
C00024	ko00290	Valine_ leucine and isoleucine biosynthesis	Acetyl-CoA; Acetyl coenzyme A
C00109	ko00290	Valine_ leucine and isoleucine biosynthesis	2-Oxobutanoate; 2-Ketobutyric acid; 2-Oxobutyric acid; 2-Oxobutyrate; 2-Oxobutanoic acid; alpha-Keto
C00123	ko00290	Valine_ leucine and isoleucine biosynthesis	L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine
C00141	ko00290	Valine_ leucine and isoleucine biosynthesis	3-Methyl-2-oxobutanoic acid; 3-Methyl-2-oxobutyric acid; 3-Methyl-2-oxobutanoate; 2-Oxo-3-methylbuta
C00183	ko00290	Valine_ leucine and isoleucine biosynthesis	L-Valine; 2-Amino-3-methylbutyric acid
C00188	ko00290	Valine_ leucine and isoleucine biosynthesis	L-Threonine; 2-Amino-3-hydroxybutyric acid
C00233	ko00290	Valine_ leucine and isoleucine biosynthesis	4-Methyl-2-oxopentanoate; 2-Oxoisocaproate; alpha-Ketoisocaproate
C00407	ko00290	Valine_ leucine and isoleucine biosynthesis	L-Isoleucine; 2-Amino-3-methylvaleric acid
C00671	ko00290	Valine_ leucine and isoleucine biosynthesis	(S)-3-Methyl-2-oxopentanoic acid; (S)-3-Methyl-2-oxopentanoate; (3S)-3-Methyl-2-oxopentanoic acid; (
C02226	ko00290	Valine_ leucine and isoleucine biosynthesis	2-Methylmaleate; Citraconate; Citraconic acid; Methylmaleic acid
C02504	ko00290	Valine_ leucine and isoleucine biosynthesis	alpha-Isopropylmalate; (2S)-2-Isopropylmalate; (2S)-2-Hydroxy-2-isopropylsuccinic acid; 2-Isopropylm
C02612	ko00290	Valine_ leucine and isoleucine biosynthesis	(R)-2-Methylmalate; (R)-2-Methylmalic acid; (R)-Citramalate; (R)-Citramalic acid; (R)-alpha-Hydroxyp
C02631	ko00290	Valine_ leucine and isoleucine biosynthesis	2-Isopropylmaleate; beta-Isopropylmaleate
C04181	ko00290	Valine_ leucine and isoleucine biosynthesis	3-Hydroxy-3-methyl-2-oxobutanoic acid; 3-Hydroxy-3-methyl-2-oxobutanoate; 2-Oxo-3-hydroxyisovalerate
C04236	ko00290	Valine_ leucine and isoleucine biosynthesis	(2S)-2-Isopropyl-3-oxosuccinate; 3-Carboxy-4-methyl-2-oxopentanoate; 2-Oxo-4-methyl-3-carboxypentano
C04272	ko00290	Valine_ leucine and isoleucine biosynthesis	(R)-2,3-Dihydroxy-3-methylbutanoate; (R)-2,3-Dihydroxy-isovalerate; (R)-2,3-Dihydroxy-isovaleric aci
C04411	ko00290	Valine_ leucine and isoleucine biosynthesis	(2R,3S)-3-Isopropylmalate; 3-Isopropylmalate; 3-Carboxy-2-hydroxy-4-methylpentanoate; 2-D-threo-Hydr
C06006	ko00290	Valine_ leucine and isoleucine biosynthesis	(S)-2-Aceto-2-hydroxybutanoate; (S)-2-Hydroxy-2-ethyl-3-oxobutanoate; (2S)-2-Ethyl-2-hydroxy-3-oxobu
C06007	ko00290	Valine_ leucine and isoleucine biosynthesis	(R)-2,3-Dihydroxy-3-methylpentanoate; (R)-2,3-Dihydroxy-3-methylvalerate; (2R,3R)-2,3-Dihydroxy-3-me
C06010	ko00290	Valine_ leucine and isoleucine biosynthesis	(S)-2-Acetolactate; (S)-2-Hydroxy-2-methyl-3-oxobutanoate; (2S)-2-Hydroxy-2-methyl-3-oxobutanoate; (
C06032	ko00290	Valine_ leucine and isoleucine biosynthesis	D-erythro-3-Methylmalate; (2R,3S)-3-Methylmalate
C14463	ko00290	Valine_ leucine and isoleucine biosynthesis	(R)-3-Hydroxy-3-methyl-2-oxopentanoate; (R)-3-Hydroxy-3-methyl-2-oxopentanoic acid
C00012	ko00330	Arginine and proline metabolism	Peptide
C00019	ko00330	Arginine and proline metabolism	S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM
C00022	ko00330	Arginine and proline metabolism	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid
C00025	ko00330	Arginine and proline metabolism	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
C00048	ko00330	Arginine and proline metabolism	Glyoxylate; Glyoxalate; Glyoxylic acid
C00062	ko00330	Arginine and proline metabolism	L-Arginine; (S)-2-Amino-5-guanidinovaleric acid; L-Arg
C00077	ko00330	Arginine and proline metabolism	L-Ornithine; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminopentanoate
C00086	ko00330	Arginine and proline metabolism	Urea; Carbamide
C00134	ko00330	Arginine and proline metabolism	Putrescine; 1,4-Butanediamine; 1,4-Diaminobutane; Tetramethylenediamine; Butane-1,4-diamine
C00148	ko00330	Arginine and proline metabolism	L-Proline; 2-Pyrrolidinecarboxylic acid
C00179	ko00330	Arginine and proline metabolism	Agmatine; (4-Aminobutyl) guanidine
C00213	ko00330	Arginine and proline metabolism	Sarcosine; N-Methylglycine
C00223	ko00330	Arginine and proline metabolism	p-Coumaroyl-CoA; 4-Coumaroyl-CoA; 4-Hydroxycinnamoyl-CoA; trans-4-Coumaroyl-CoA; (E)-4-Coumaroyl-CoA
C00300	ko00330	Arginine and proline metabolism	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine
C00315	ko00330	Arginine and proline metabolism	Spermidine; N-(3-Aminopropyl)-1,4-butane-diamine
C00334	ko00330	Arginine and proline metabolism	4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric aci
C00406	ko00330	Arginine and proline metabolism	Feruloyl-CoA; trans-Feruloyl-CoA; 4-Hydroxy-3-methoxycinnamoyl-CoA; (E)-3-(4-Hydroxy-3-methoxyphenyl
C00431	ko00330	Arginine and proline metabolism	5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid
C00436	ko00330	Arginine and proline metabolism	N-Carbamoylputrescine
C00441	ko00330	Arginine and proline metabolism	L-Aspartate 4-semialdehyde; Aspartate beta-semialdehyde; L-Aspartic 4-semialdehyde
C00533	ko00330	Arginine and proline metabolism	Nitric oxide; NO; Nitrogen monoxide
C00555	ko00330	Arginine and proline metabolism	4-Aminobutyraldehyde; 4-Aminobutanal
C00581	ko00330	Arginine and proline metabolism	Guanidinoacetate; Guanidinoacetic acid; Glycocyamine; N-Amidinoglycine; Guanidoacetic acid
C00750	ko00330	Arginine and proline metabolism	Spermine; N,N'-Bis(3-aminopropyl)-1,4-butanediamine
C00763	ko00330	Arginine and proline metabolism	D-Proline
C00791	ko00330	Arginine and proline metabolism	Creatinine; 1-Methylglycocyamidine
C00884	ko00330	Arginine and proline metabolism	Homocarnosine; L-Homocarnosine; gamma-Aminobutyryl histidine; N-(4-Amino-1-oxobutyryl)histidine
C00986	ko00330	Arginine and proline metabolism	1,3-Diaminopropane; Trimethylenediamine; 1,3-Propanediamine; Propane-1,3-diamine
C01035	ko00330	Arginine and proline metabolism	4-Guanidinobutanoate; 4-Guanidinobutyric acid
C01043	ko00330	Arginine and proline metabolism	N-Carbamoylsarcosine
C01110	ko00330	Arginine and proline metabolism	5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentano
C01137	ko00330	Arginine and proline metabolism	S-Adenosylmethioninamine; (5-Deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium; (5-Deoxy-5-adenosyl)(3
C01157	ko00330	Arginine and proline metabolism	Hydroxyproline; L-Hydroxyproline; trans-4-Hydroxy-L-proline
C01165	ko00330	Arginine and proline metabolism	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde
C01250	ko00330	Arginine and proline metabolism	N-Acetyl-L-glutamate 5-semialdehyde; 2-Acetamido-5-oxopentanoate
C01682	ko00330	Arginine and proline metabolism	Nopaline; D-Nopaline; N2-(D-1,3-Dicarboxypropyl)-L-arginine; N-[(1S)-4-Carbamimidamido-1-carboxybuty
C02305	ko00330	Arginine and proline metabolism	Phosphocreatine; N-Phosphocreatine; Creatine phosphate
C02565	ko00330	Arginine and proline metabolism	N-Methylhydantoin; N-Methylimidazolidine-2,4-dione
C02647	ko00330	Arginine and proline metabolism	4-Guanidinobutanal
C02714	ko00330	Arginine and proline metabolism	N-Acetylputrescine
C02946	ko00330	Arginine and proline metabolism	4-Acetamidobutanoate; N4-Acetylaminobutanoate
C03078	ko00330	Arginine and proline metabolism	4-Guanidinobutanamide
C03166	ko00330	Arginine and proline metabolism	Phosphoguanidinoacetate; Guanidinoacetate phosphate
C03287	ko00330	Arginine and proline metabolism	L-Glutamyl 5-phosphate; L-Glutamate 5-phosphate
C03296	ko00330	Arginine and proline metabolism	N2-Succinyl-L-arginine; (2S)-2-(3-Carboxypropanoylamino)-5-(diaminomethylideneamino)pentanoic acid
C03375	ko00330	Arginine and proline metabolism	Norspermidine; Bis(3-aminopropyl)amine; 3,3'-Iminobispropylamine
C03415	ko00330	Arginine and proline metabolism	N2-Succinyl-L-ornithine; (2S)-5-Amino-2-(3-carboxypropanoylamino)pentanoic acid
C03564	ko00330	Arginine and proline metabolism	1-Pyrroline-2-carboxylate; 1-Pyrroline-2-carboxylic acid; Delta1-Pyrroline 2-carboxylate; 1-Pyrrolin
C03771	ko00330	Arginine and proline metabolism	5-Guanidino-2-oxopentanoate; 5-Guanidino-2-oxo-pentanoate; 2-Oxo-5-guanidinopentanoate; 2-Oxo-5-guan
C03912	ko00330	Arginine and proline metabolism	(S)-1-Pyrroline-5-carboxylate; L-1-Pyrroline-5-carboxylate; 1-Pyrroline-5-carboxylate
C04137	ko00330	Arginine and proline metabolism	Octopine; D-Octopine; N2-(D-1-Carboxyethyl)-L-arginine; N2-(1-Carboxyethyl)-L-arginine; Arginine, N2
C04281	ko00330	Arginine and proline metabolism	L-1-Pyrroline-3-hydroxy-5-carboxylate; 3-Hydroxy-L-1-pyrroline-5-carboxylate; (3R,5S)-1-Pyrroline-3-
C05147	ko00330	Arginine and proline metabolism	trans-3-Hydroxy-L-proline; trans-L-3-Hydroxyproline
C05931	ko00330	Arginine and proline metabolism	N-Succinyl-L-glutamate; (2S)-2-(3-Carboxypropanoylamino)pentanedioic acid
C05932	ko00330	Arginine and proline metabolism	N-Succinyl-L-glutamate 5-semialdehyde; (2S)-2-(3-Carboxypropanoylamino)-5-oxopentanoic acid
C05933	ko00330	Arginine and proline metabolism	N(omega)-Hydroxyarginine; N(omega)-Hydroxy-L-arginine
C05936	ko00330	Arginine and proline metabolism	N4-Acetylaminobutanal; 4-Acetamidobutanal
C05938	ko00330	Arginine and proline metabolism	L-4-Hydroxyglutamate semialdehyde
C05945	ko00330	Arginine and proline metabolism	L-Arginine phosphate; N5-[Imino(phosphonoamino)methyl]L-ornithine; omega-N-Phosphoarginine; Arginine
C05946	ko00330	Arginine and proline metabolism	(4R)-4-Hydroxy-2-oxoglutarate; (R)-2-Hydroxy-4-oxopentanedioate; D-4-Hydroxy-2-oxoglutarate
C05947	ko00330	Arginine and proline metabolism	L-erythro-4-Hydroxyglutamate; erythro-4-Hydroxy-L-glutamate
C10497	ko00330	Arginine and proline metabolism	Feruloylputrescine; Subaphyllin
C15699	ko00330	Arginine and proline metabolism	gamma-L-Glutamylputrescine
C15700	ko00330	Arginine and proline metabolism	gamma-Glutamyl-gamma-aminobutyraldehyde
C15767	ko00330	Arginine and proline metabolism	4-(L-gamma-Glutamylamino)butanoate; 4-(gamma-L-Glutamylamino)butanoate; gamma-Glutamyl-gamma-aminobu
C18172	ko00330	Arginine and proline metabolism	Carboxyspermidine; 2-Amino-4-[(4-aminobutyl)amino]-butanoic acid
C18174	ko00330	Arginine and proline metabolism	Carboxynorspermidine
C18326	ko00330	Arginine and proline metabolism	p-Coumaroylputrescine
C19706	ko00330	Arginine and proline metabolism	cis-3-Hydroxy-L-proline; cis-3-Hydroxyproline
C20560	ko00330	Arginine and proline metabolism	N1-(3-Aminopropyl)agmatine; N1-Aminopropylagmatine; N1-(Aminopropyl)agmatine
C22886	ko00330	Arginine and proline metabolism	N1-[(S)-3-amino-3-carboxypropyl]agmatine; Carboxyaminopropylagmatine
C00009	ko04978	Mineral absorption	Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid
